,date,avg_score,no_motions
0,2004-11-01,0.0,0
1,2004-11-02,0.0,0
2,2004-11-03,0.0,0
3,2004-11-04,0.0,0
4,2004-11-05,0.0,0
5,2004-11-06,0.0,0
6,2004-11-07,0.0,0
7,2004-11-08,0.0,0
8,2004-11-09,0.0,0
9,2004-11-10,0.0,0
10,2004-11-11,0.0,0
11,2004-11-12,0.0,0
12,2004-11-13,0.0,0
13,2004-11-14,0.0,0
14,2004-11-15,0.9166666666666667,2
15,2004-11-16,0.9571428571428572,1
16,2004-11-17,0.0,0
17,2004-11-18,0.9890511574666893,7
18,2004-11-19,0.0,0
19,2004-11-20,0.0,0
20,2004-11-21,0.0,0
21,2004-11-22,0.0,0
22,2004-11-23,0.9258028094906231,6
23,2004-11-24,0.0,0
24,2004-11-25,0.9694813750149719,11
25,2004-11-26,0.0,0
26,2004-11-27,0.0,0
27,2004-11-28,0.0,0
28,2004-11-29,0.9814968814968814,5
29,2004-11-30,0.0,0
30,2004-12-01,0.0,0
31,2004-12-02,0.9603640572390574,9
32,2004-12-03,0.0,0
33,2004-12-04,0.0,0
34,2004-12-05,0.0,0
35,2004-12-06,0.0,0
36,2004-12-07,0.0,0
37,2004-12-08,0.0,0
38,2004-12-09,0.951191032375935,15
39,2004-12-10,0.0,0
40,2004-12-11,0.0,0
41,2004-12-12,0.0,0
42,2004-12-13,0.0,0
43,2004-12-14,0.9708998005982055,4
44,2004-12-15,0.0,0
45,2004-12-16,0.9522281195709035,23
46,2004-12-17,0.0,0
47,2004-12-18,0.0,0
48,2004-12-19,0.0,0
49,2004-12-20,0.0,0
50,2004-12-21,0.0,0
51,2004-12-22,0.900488854811119,22
52,2004-12-23,0.0,0
53,2004-12-24,0.0,0
54,2004-12-25,0.0,0
55,2004-12-26,0.0,0
56,2004-12-27,0.0,0
57,2004-12-28,0.0,0
58,2004-12-29,0.0,0
59,2004-12-30,0.0,0
60,2004-12-31,0.0,0
61,2005-01-01,0.0,0
62,2005-01-02,0.0,0
63,2005-01-03,0.0,0
64,2005-01-04,0.0,0
65,2005-01-05,0.0,0
66,2005-01-06,0.0,0
67,2005-01-07,0.0,0
68,2005-01-08,0.0,0
69,2005-01-09,0.0,0
70,2005-01-10,0.0,0
71,2005-01-11,0.0,0
72,2005-01-12,0.8691036054691481,12
73,2005-01-13,0.0,0
74,2005-01-14,0.0,0
75,2005-01-15,0.0,0
76,2005-01-16,0.0,0
77,2005-01-17,0.0,0
78,2005-01-18,0.8478756157635469,3
79,2005-01-19,0.0,0
80,2005-01-20,0.9190238678635916,23
81,2005-01-21,0.0,0
82,2005-01-22,0.0,0
83,2005-01-23,0.0,0
84,2005-01-24,0.0,0
85,2005-01-25,0.0,0
86,2005-01-26,0.0,0
